Year,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1969,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
1973,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,
1974,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1976,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
1977,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,
1978,0,1,0,1,1,1,0,0,0,1,0,0,1,2,0,
1979,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,
1980,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
1981,2,0,0,0,1,1,2,0,0,0,0,1,0,0,0,
1982,0,1,1,1,0,0,1,0,1,0,1,0,1,3,0,
1983,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
1984,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,
1985,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,
1986,3,0,2,2,0,2,1,0,1,2,0,0,1,5,4,
1987,0,0,3,0,1,1,1,0,0,3,1,1,0,2,2,
1988,1,1,3,4,1,2,0,0,2,0,1,3,2,3,0,
1989,3,0,0,2,1,1,0,0,1,2,0,0,2,1,2,
1990,1,2,0,1,1,3,1,0,1,1,0,2,2,1,0,
1991,2,0,1,4,0,1,1,0,0,0,1,2,2,3,1,
1992,0,2,0,1,1,0,0,0,3,1,1,1,0,1,1,
1993,2,1,2,1,2,2,0,1,1,0,3,1,2,3,2,
1994,3,0,2,4,2,1,0,1,1,0,1,3,3,3,4,
1995,0,0,1,3,0,0,0,0,1,2,0,0,0,2,3,
1996,6,3,3,5,2,2,1,0,5,4,0,4,3,4,1,
1997,11,2,2,3,2,2,0,2,7,2,1,5,2,6,5,
1998,7,2,0,2,1,5,2,1,5,0,2,1,5,4,4,
1999,6,3,5,6,2,4,2,3,9,3,3,5,8,10,2,
2000,3,2,3,3,1,6,2,1,6,1,2,3,5,11,2,
2001,11,4,4,11,0,6,7,4,14,7,3,7,7,11,4,
2002,3,3,2,9,4,2,4,2,11,4,2,2,6,7,5,
2003,14,5,1,6,5,6,8,8,10,9,5,10,7,16,6,
2004,13,5,5,9,6,6,11,7,15,10,8,6,8,11,9,
2005,32,11,10,28,13,14,22,9,30,31,19,18,21,31,20,
2006,40,14,14,40,18,24,30,18,45,57,18,22,35,44,28,
2007,49,29,18,40,33,44,41,25,64,87,24,41,58,51,46,
2008,64,42,30,64,57,47,50,35,80,100,38,41,79,92,54,
2009,101,69,54,107,71,77,92,62,108,188,66,81,111,145,112,
2010,111,62,63,107,84,86,102,47,112,198,59,104,106,127,99,
2011,162,67,75,150,97,113,113,70,136,241,77,116,128,156,114,
2012,144,59,62,120,91,102,120,61,104,227,64,131,126,129,101,
2013,189,89,30,135,89,118,113,92,138,287,55,149,134,165,129,
2014,167,83,30,161,109,112,150,85,150,321,50,183,153,167,79,
2015,209,89,27,120,100,133,132,97,148,325,56,184,144,141,78,
2016,4,1,0,4,1,2,2,2,2,5,0,0,0,1,0,
